14:23:54.421 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
14:23:54.431 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
17:23:04.869 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - testng
17:23:04.870 [ApplicationImpl pooled thread 232] INFO  com.browserstack.utils.Helpers - null
17:23:04.870 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:24:29.033 [ApplicationImpl pooled thread 229] INFO  c.b.l.BrowserStackRunExtension - testng
17:24:29.034 [ApplicationImpl pooled thread 229] INFO  com.browserstack.utils.Helpers - null
17:24:29.035 [ApplicationImpl pooled thread 229] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:25:55.919 [ApplicationImpl pooled thread 233] INFO  c.b.l.BrowserStackRunExtension - testng
17:25:55.919 [ApplicationImpl pooled thread 233] INFO  com.browserstack.utils.Helpers - null
17:25:55.920 [ApplicationImpl pooled thread 233] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:27:13.739 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - testng
17:27:13.739 [ApplicationImpl pooled thread 245] INFO  com.browserstack.utils.Helpers - null
17:27:13.740 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:28:50.275 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - testng
17:28:50.275 [ApplicationImpl pooled thread 232] INFO  com.browserstack.utils.Helpers - null
17:28:50.276 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:30:09.251 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - testng
17:30:09.251 [ApplicationImpl pooled thread 242] INFO  com.browserstack.utils.Helpers - null
17:30:09.252 [ApplicationImpl pooled thread 242] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:31:36.297 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - testng
17:31:36.297 [ApplicationImpl pooled thread 245] INFO  com.browserstack.utils.Helpers - null
17:31:36.298 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:37:10.325 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - testng
17:37:10.325 [ApplicationImpl pooled thread 232] INFO  com.browserstack.utils.Helpers - null
17:37:10.326 [ApplicationImpl pooled thread 232] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:45:13.399 [ApplicationImpl pooled thread 267] INFO  c.b.l.BrowserStackRunExtension - testng
17:45:13.400 [ApplicationImpl pooled thread 267] INFO  com.browserstack.utils.Helpers - null
17:45:13.400 [ApplicationImpl pooled thread 267] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:47:01.412 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - testng
17:47:01.412 [ApplicationImpl pooled thread 272] INFO  com.browserstack.utils.Helpers - null
17:47:01.412 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:48:44.406 [ApplicationImpl pooled thread 273] INFO  c.b.l.BrowserStackRunExtension - testng
17:48:44.406 [ApplicationImpl pooled thread 273] INFO  com.browserstack.utils.Helpers - null
